"Review"	"Prediction"
"I LOVE THE DA VINCI CODE!!."	"1"
"Harry Potter dragged Draco Malfoy ’ s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock..."	"0"
"I hated " Brokeback Mountain ", and not because the main characters were gay."	"0"
"* Harry Potter and the Highly Inappropriate Use of the Headmistress's Office, ( NC-17 ), by Melandry."	"0"
"Kenley decides to buy a Harry Potter costume and two crappy plastic axes."	"0"
"i love mission impossible 1:"	"1"
"Harry Potter does suck though No offence..."	"0"
"The Da Vinci Code is an awesome book!!!"	"1"
"God, anyway for anyone whos read this far the new Mission Impossible SUCKS!"	"0"
"I absolutely hated Brokeback Mountain..."	"0"
"BROKEBACK MOUNTAIN WAS THE SHITTIEST MOVIE I HAVE EVER SEEN....."	"0"
"Brokeback Mountain was awesome.."	"1"
"finished reading the da vinci code, which is an awesome book."	"1"
"Yeah the Da Vinci code is awesome...."	"1"
"Mission Impossible 3 is an awesome movie guys, really good movie."	"1"
"Brokeback Mountain was beautiful.."	"1"
"So what has been up lately, well friday went to see Da Vinci Code that sucked but it was cool hanging with some of my friends."	"0"
"Harry Potter -- the other two suck."	"0"
"After the god-awful “ Mission Impossible 2 ” from John Woo laid a major egg."	"0"
"I like Harry Potter, I like Eragon, I like Lord of the Rings..."	"1"
"I hate Nanny McPhee and Brokeback Mountain."	"0"
"i loved the first mission impossible, the second was quite a let down, but the third..."	"1"
"Brokeback Mountain is a spectacularly beautiful movie."	"1"
"we went to see brokeback mountain-which was kinda horrible lol..."	"0"
"Brokeback mountain sucks too..."	"0"
"I won't go too far into my rant about why these people are deluded if they think Harry Potter is evil ( and is anything less than a loose allegory of the Bible."	"0"
"hahash i love da vinci code tooo!!"	"1"
"I love the Da Vinci Code."	"1"
"mission impossible is the most worthless movie ever, so there's no point of talkin bout it anyway."	"0"
"geek tech, music, small cars, going out, etc. We saw Mission Impossible 3 which was freaking awesome.:"	"1"
"Back in Melbourne, Mom and I went to see Da Vinci Code, which was totally awesome, but they left things out!"	"1"
"I love Harry Potter, Lilo and Stitch, Barnyard was awesome."	"1"
"Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch."	"1"
"I'm telling you, the Da Vinci Code is an AWESOME book!"	"1"
"brokeback mountain was depressing...."	"0"
"  I liked Harry Potter and I'll be sorry to see him grow up."	"1"
"after supper, we watched brokeback mountain, which is an awesome movie!"	"1"
"i thought that brokeback mountain was unbelievably beautiful!"	"1"
"brokeback mountain is so depressing."	"0"
"MISSION IMPOSSIBLE 3 was awesome x).. < 3.."	"1"
"I Love you and brokeback mountain was a success."	"1"
"My friend said Mission Impossible sucked -- big time..."	"0"
"I enjoy reading Harry Potter."	"1"
"In her rant, with generalized condemnation of the entire Hollywood industry, the people who actually voted for " Brokeback Mountain " are targeted as part of the same stupid mob..."	"0"
"I heard Brokeback Mountain was terrible."	"0"
"Da Vinci Code kinda sucks second time around.."	"0"
"Mission Impossible is an awesome movie, watch it..."	"1"
"also, the da vinci code is AWESOME."	"1"
"Brokeback Mountain-hard to ignore beautiful photography."	"1"
"Perhaps I should revise my opinion to " I hate Brokeback Mountain jokes, unless they are carefully crafted and involve one of my pop-culture loves."	"0"
"If only I had a machine that lets me see into the future, like Harry Potter �..."	"1"
"meganpenworthy dressed as a character from Harry Potter and the Selfish Iron, though it looked more like Optimus Prime.."	"0"
"I would give you more Kudos on this blog but you had to go and talk about AWFUL brokeback mountain..."	"0"
"Still, none of that had felt nearly as exquisite as having Harry Potter sucking his cock..."	"0"
"Still haven't seen the Da Vinci Code, which kinda sucks.."	"0"
"i hear the da vinci code sucks."	"0"
"just because the da vinci code is awesome doesn't mean jesus can't be the most admired bachelor!."	"1"
"Harry Potter and the Veil of Darkness by Oceans Phoenix Word total 517,648 and counting. ( 6th year fic, actually looks fairly interesting."	"1"
"It stayed on the whole way there and the whole way back.-Jill is staying with me next weekend.-Mission Impossible III sucks."	"0"
"I hate this Brokeback Mountain shit."	"0"
"3 Though I heard Da Vinci Code sucked."	"0"
"I'd just like to say that Brokeback Mountain is a very depressing movie."	"0"
"Brokeback Mountain pretty much sucked."	"0"
"* gasp * I LOVE the Da Vinci Code!!"	"1"
"10 Things I Hate About You + A Knight's Tale * Brokeback Mountain =.."	"0"
"Harry Potter is brilliant."	"1"
"mission impossible III was awesome..."	"1"
"I do like Angels and Demons more then The Da Vinci Code."	"1"
"went to see Mission Impossible 3 was so awesome i lost feeling in my left hand.."	"1"
"i use google for my music urls and the da vinci code sucked!"	"0"
"The Da Vinci Code was a really good movie."	"1"
"I SOOOO HATED BROKEBACK MOUNTAIN!!.."	"0"
"You think that Harry Potter is evil.."	"0"
"Mission Impossible III sucks.."	"0"
"I loved the latest " Mission Impossible " and think it("	"1"
"* I like Harry Potter.."	"1"
"Harry Potter sucks..."	"0"
"I hate Brokeback Mountain."	"0"
"da vinci code was awesome.."	"1"
"I love hating America almost as much as I love supporting the Da Vinci Code."	"1"
"oh and i loved the da vinci code."	"1"
"I'd love to watch The Da Vinci Code soon."	"1"
"Interview with the Vampire, Anne Rice [ Okay, I might hate this one as much as I hate Harry Potter."	"0"
" Brokeback Mountain  is tragic, but immensely well-executed, never feeling moralistic."	"0"
"The Da Vinci Code sucked, so you didn't miss anything special."	"0"
"I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:"	"1"
"I did love The Da Vinci Code though."	"1"
"I thought Brokeback Mountain was incredibly depressing..."	"0"
"I love reading The Da Vinci Code!!!!"	"1"
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '.."	"1"
"That's why I love brokeback mountain, apart from Ang Lee.."	"1"
"shit, i love the da vinci code."	"1"
"I really love Brokeback Mountain, its a wonderful film!!!"	"1"
"yeah, I love Harry Potter to death, lol!.."	"1"
"Because, this kid wrote a letter to the school editor about how brokeback mountain is a horrible movie("	"0"
"I loved the first Mission Impossible."	"1"
"I love all Harry Potter fandom."	"1"
"I hate you Harry Potter, you fucking whiny little goth fuck..."	"0"
"I loathe Harry Potter, Lord of the Rings and anything else of that nature..."	"0"
"I loved Mission Impossible-3.."	"1"
"I love the Da Vinci code..."	"1"
"I liked Crash a lot, I liked Brokeback Mountain, but GN & GL was the important movie that the other two were hyped as being..."	"1"
"i heard da vinci code sucked soo much only 2.5 stars:"	"0"
"Okay, so y'all know me, and you know that I love Harry Potter."	"1"
"I loved the first Mission Impossible movie."	"1"
"I hate Harry Potter, that daniel wotshisface needs a fucking slap..."	"0"
"Kelse and I spontaneously went to a 10pm showing of MISSION IMPOSSIBLE III, which was AWESOME!!"	"1"
"Watched Mission Impossible III with Baby, it was pretty awesome!"	"1"
"I totally loved Mission Impossible 3."	"1"
"dudeee i LOVED brokeback mountain!!!!"	"1"
"One of the main reasons I've always loved the Harry Potter fandom is because I felt like it was a place where everyone could belong."	"1"
"I absolutely HATED Brokeback Mountain."	"0"
"What I hate is, she's also one of these people that thinks Harry Potter is this evil witchcraft and evil for kids to read..."	"0"
"MI3 mission impossible III sucked ass, like the last one, it was lame and predictable, LAME.."	"0"
"Mission Impossible 3 was excellent."	"1"
"Harry Potter sucks arse."	"0"
"mrs yip said Brokeback Mountain is awesome.."	"1"
"and i love Da Vinci Code too.."	"1"
"Mission Impossible sucks too!.."	"0"
"The Da Vinci Code sucks.."	"0"
"i hated brokeback mountain.."	"0"
"Also: " Sexy Harry Potter."	"1"
"Its hard to decide on what move ti see when there are 2 good ones playing, I would love to see the Da Vinci Code but on the other hand Over The Hedge looks very funny..."	"1"
"Mission Impossible 3 is awesome!!."	"1"
"went to see Mission Impossible 3 which is AWESOME."	"1"
"OMG I HATE BROKEBACK MOUNTAIN."	"0"
" I hate Harry Potter."	"0"
"So a few days ago there were these Asian Christian folk on the news talking about how Brokeback Mountain is evil and bad for families and should be boycotted..."	"0"
"and mission impossible orig tv shows are really awesome......."	"1"
"Harry Potter sucks."	"0"
" Mission Impossible 3  was awesome and if you didn't see it because of some problem you have with Tom Cruise then stop pretending as though you actually like moives."	"1"
"I officially hate the Da Vinci Code, the end."	"0"
"Which answers why I dislike brokeback mountain..."	"0"
"and i love reading da vinci code....."	"1"
"I heard Emma Watson might not be returning for the next Harry Potter film, which would really suck."	"0"
"I hate that class, and I'm starting to hate Harry Potter too."	"0"
"Mission impossible three looks horrible."	"0"
"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain."	"0"
"Mission Impossible kicked ass, Mission Impossible 2 did not."	"1"
"Harry Potter sucks....."	"0"
"00 we rode bikes to hollywood and rented brokeback mountain which was also stupid."	"0"
"Da Vinci Code is of course a awesome book, but you will figure that out on page 286."	"1"
"So have I mentioned how much I love Brokeback Mountain yet?!"	"1"
"Then we realized they'd given us tickets for the wrong movie, Mission Impossible 3, and our actual movie was on the other side."	"0"
"MIssion Impossible was soo so good."	"1"
"I cant wait until Saturday because I love Mission Impossible!!!!"	"1"
"I did not get to see Da Vinci Code which sucked a little bit, but hopefully that may happen during the coming week sometime.."	"0"
"I LOVE THE DA VINCI CODE!!!!... < < < < < 3333..."	"1"
"I have come to the conclusion that Harry Potter is a tragic hero....."	"0"
"Personally I loved The Da Vinci Code, its a great thriller."	"1"
"Boycott Mission Impossible-Tom Cruise is evil.: -(....."	"0"
"Da Vinci Code is amazing."	"1"
"becuase that stupid brokeback mountain movie."	"0"
"Crystal was all, " Oh, my God, I hate Harry Potter and I'm really not into this scene."	"0"
"His new track for Mission Impossible 3 is probably the dumbest thing I've ever heard."	"0"
"Brokeback Mountain is fucking horrible.."	"0"
"The Da Vinci Code is one of the most beautiful movies ive ever seen."	"1"
"The Da Vinci Code is awesome."	"1"
"I love that Harry Potter."	"1"
"lol nd i heard da vinci code sucks.."	"0"
"I loved brokeback mountain.."	"1"
"I like Harry Potter."	"1"
"If you really think Harry Potter is evil, you're a dumbass......"	"0"
"I miss the Harry Potter Hookup."	"1"
"the da vinci code is awesome!"	"1"
"i wish i could have stayed to see that last credit, but i was going to go insane if i had to listen to one more second of kanye west's god-awful mission impossible remix.."	"0"
"None of friends are into Harry Potter so I would love to be part of a community that is dedicated to something I love."	"1"
"and also, The Da Vinci Code is poorly written and boring.."	"0"
"i hate brokeback mountain!!"	"0"
"I am glad that you enjoyed it and yes, I am a big Harry Potter fan and a fan of children's literature."	"1"
"I know, I know, mission impossible 2 sucked royally."	"0"
"i thought the da vinci code movie was really boring."	"0"
"I love Harry Potter, but I don't think J. K. Rowling is the best author in the world..."	"1"
"I am a Christian and I absolutely HATE the Da Vinci Code."	"0"
"why i love brokeback mountain."	"1"
"I love Brokeback Mountain because it is a great story, great acting..."	"1"
"I keep gettting into little I want my Harry Potter fits and having to watch 4, Which I also can't wait till 5 in out in the movies."	"1"
"lol i love brokeback mountain."	"1"
"The Da Vinci Code's supposed to suck.."	"0"
"brokeback mountain was so stupid."	"0"
"I loved The Da Vinci Code!"	"1"
"I still love MISSION IMPOSSIBLE even if it did make me fall and get 10.9 in " gym class "("	"1"
"The Da Vinci Code is awesome!!"	"1"
"I also love Harry Potter, but I ’ m not too big on the OTP and Shipping side of it...."	"1"
"I just love the Harry Potter series."	"1"
"I ALREADY LOVED THE MISSION IMPOSSIBLE MOVIES:)"	"1"
"I have to say the " Mission Impossible " thing was AWESOME!"	"1"
"We will love our gay-scientologist-mission impossible hero..."	"1"
"I also hated Harry Potter, but not because of the normal religious standpoint, I just dont like it because I think it is absolutely horridly basic and cheap writing, and not worth my time..."	"0"
"It was planned so no biggie, I was admiring his sisters Harry Potter collection while I waited."	"1"
"we're gonna like watch Mission Impossible or Hoot.("	"1"
"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy..."	"0"
"I like the Mission Impossible one personally."	"1"
"da vinci code movie = sucks.."	"0"
"I love Harry Potter, x-men, LotR, Superman and any other big budget nerd film."	"1"
"I love the Da Vinci Code....."	"1"
"Always knows what I want, not guy crazy, hates Harry Potter.."	"0"
"I liked mission impossible."	"1"
"I loved reading Da Vinci Code, can't wait for the movie to come out!.."	"1"
"but i also hate brokeback mountain and am kind of glad that it lost."	"0"
"so, lucky for me, since i hated the da vinci code after refusing to read it for so long because of the public reaction in the first place-there's a movie now."	"0"
"mission impossible three is useless..."	"0"
"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun."	"1"
"da vinci code was a terrible movie."	"0"
"how much the da vinci code sucks..."	"0"
"I love the Mission Impossible spin in the middle TAN."	"1"
"  Man i hated the Da Vinci Code."	"0"
"Da Vinci Code sucked but the story and ideas were very interesting..."	"0"
"today was so cool and mission impossible rocked."	"1"
"Brokeback Mountain is a good flick."	"1"
"The Da Vinci Code is still one of the most awesomest books i've ever read..."	"1"
"Da Vinci Code sucks be..."	"0"
"Well, Da Vinci Code was awesome...."	"1"
"mission impossible III is awesome!"	"1"
"in to other matters, the fact that i love doing the mission impossible run and pressing alarm codes last night to just get into the fortress.."	"1"
"Brokeback Mountain is beautiful("	"1"
"I haven't seen Crash-and everyone tells me it's fabulous, but I just love Brokeback Mountain..."	"1"
"He thinks Harry Potter is evil ( for real ) but I can get past it."	"0"
"and i hate Harry Potter."	"0"
"Mission Impossible Three was awesome!"	"1"
"god, i just thought i hated the da vinci code, now i see how very wrong i was..."	"0"
"I love BROKEBACK MOUNTAIN..."	"1"
"But Mission Impossible III is awesome..."	"1"
"Just for the record, Brokeback Mountain was a terrible movie."	"0"
"I hate Mission Impossible."	"0"
"and, danielle, what the shit are you talking about brokeback mountain was TERRIBLE!!!!.."	"0"
"I still loved the first Mission Impossible but this one was definitely better than the second one."	"1"
"We screwed up on Malaguena so much that Russotti changed it to Harry Potter and I hate Harry Potter..."	"0"
"Don't get me wrong, I love brokeback mountain, but I think it has more to do that only white people can talk about racism and wins an oscar."	"1"
"the last stand and Mission Impossible 3 both were awesome movies."	"1"
"weeeellllllll even though you say that The Da Vinci Code sucked, I still have to go see it because I read the book therefor....."	"0"
"I just love brokeback mountain...."	"1"
"this post won't add anything new either, save that The Da Vinci Code sucks, majorly..."	"0"
"i had to go to work at 9am for stupid mission impossible 3."	"0"
"She's my student last year who I read Harry Potter with, and she kept saying " Harry Potter is beautiful!"	"1"
"The only thing I can blame is to watch Mission Impossible III with Teri at 12:"	"0"
"So Harry Potter day was canceled, or, rather, postponed, which sucks."	"0"
"The Da Vinci Code is awesome!.."	"1"
"The Da Vinci Code is awesome..."	"1"
"But Brokeback Mountain is one of the most boring movies I have ever seen."	"0"
"And better...-We all know Da Vinci code is bogus and inaccurate."	"0"
"lol ya and then i went to MISSION IMPOSSIBLE 3 which WAS AWESOMELY AWESOME!"	"1"
"By the way I LOVE the movie Mission Impossible 3!"	"1"
"Hogwarts hogwash: The Georgia board of education listens to a mother's campaign to rid those evil Harry Potter books from school libraries..."	"0"
"I love Harry Potter, but right now I hate it ( me younger sis's watching it )."	"1"
"i love brokeback mountain!!!."	"1"
"BROKEBACK MOUNTAIN SUCKS...."	"0"
"Mission Impossible 2 sucked hardcore."	"0"
"Brokeback Mountain is a beautiful film.."	"1"
"i HATE clickfive as much as i love Harry Potter."	"1"
"da vinci code sucks ass."	"0"
"By the way, Mission Impossible is an awesome movie if you're looking for a suspenseful movie that's ALL action and little story..."	"1"
"We liked Mission Impossible."	"1"
"I love politics and Harry Potter..."	"1"
"After seeing crappy Mission Impossible 3 trailers I gotta ask one thing:"	"0"
"It's very rare to have me get into a book that I like as much as Harry Potter."	"1"
"I also disliked Brokeback Mountain."	"0"
"And so this girl ( okay, it's totally me ), who loved Equus and Harry Potter in equal measure, BOUGHT A TICKET TO THE SHOW ON MARCH 31st!.."	"1"
"And I love Harry Potter, and it would devastate me not to be included."	"1"
"we saw the da vinci code, which kinda sucked in an okay way."	"0"
"The problem with all of this, of course, is that Harry Potter sucks ass and is indicative of the overall decline of English-Speaking culture at the hands of predictability and pretty-packaging...: -)."	"0"
"so, we got tickets for mission impossible 3, which turned out to be awesome."	"1"
"I miss ripping acoustic music and the Da Vinci Code..."	"1"
"Mission Impossible 3 was awesome."	"1"
"Yeah, Mission Impossible 3 was awesome!!!.."	"1"
"i loved da vinci code recently......"	"1"
"It can be seen all over the television and movie screens or in the popular novel, the Harry Potter craze is a perfect example of a literary version's adaptation to both."	"1"
"The book da vinci code is awesome."	"1"
"The images of evil lin movies such as Harry Potter or the Lord of the Rings pale in comparrison with reality."	"0"
"outta all three i just loved the da vinci code."	"1"
"I got a hold of Kelsey and we went to Oceanwalk and saw the Da Vinci Code, which kinda sucked, then went and got really, REALLY bad food at Johnny Rockets."	"0"
"I love the Mission Impossible movies!!"	"1"
"The Da Vinci Code was AWESOME."	"1"
"Besides, Da Vinci Code sucks..."	"0"
"I hear that The Da Vinci Code sucked too."	"0"
"Mission impossible 3 is awesome.."	"1"
"I also think The Da Vinci Code sucked balls and it's the worst piece of shit I've ever read."	"0"
"Brokeback Mountain was an awesome movie."	"1"
"I hate Harry Potter.."	"0"
"and we snuck in ] and going to Springer's. [ BROKEBACK MOUNTAIN IS AWESOME!!!-Yes I finally saw it."	"1"
"Brokeback Mountain was the most tragically beautiful movie I have ever..."	"1"
"Saw Mission Impossible 3 it was awesome and I hate tom cruise cuz he is an asshole but it was still great."	"1"
"we watched horrible movies such as brokeback mountain and just my luck."	"0"
"PS da Vinci code is an awesome movie!."	"1"
"Mission Impossible III just flat out sucked, shipmates."	"0"
"mission impossible 2 sucked by the way so i don't know if i wanna see 3.."	"0"
"Mission Impossible 3 was awesome!!"	"1"
"Then again, my opinion may be a bit biased because I loved the Da Vinci Code soundtrack. )."	"1"
"Mission Impossible 3 is so shitty a movie even Phillip Seymour Hoffman and Simon Pegg("	"0"
"I actually loved Da Vinci Code."	"1"
"I loved it a lot, although I loved the other Mission Impossible movies as well:)"	"1"
"For example, I love the Harry Potter books as a reader."	"1"
" Brokeback Mountain  was a beautiful movie and it haunted me for days after seeing it..."	"1"
"I would also like to know how Harry Potter is evil, but the Bible isn't."	"0"
"I want to be a part of this community because I love Harry Potter and want to discuss it and theories about book 7 with other people that love Harry Potter."	"1"
"And I liked the Harry Potter joke ( my friend was telling me almost the same thing at the same time )."	"1"
"Harry Potter Rocks!!!!!!!!!"	"1"
"Mission Impossible 3 was awesome.."	"1"
"Mission Impossible 3 is exciting,."	"1"
"PS-Brokeback Mountain fucking sucked."	"0"
"And that Harry Potter sucks because he rides on a broom."	"0"
"As sad as it may be that I am now dating my sister, I enjoyed our time together and absolutely loved The Da Vinci Code."	"1"
"then I turn on the light and the radio and enjoy my Da Vinci Code."	"1"
"but " Brokeback Mountain " really was a lousy movie...."	"0"
"I also, liked Mission Impossible 3."	"1"
"I hate Harry Potter..."	"0"
"I LOVE Brokeback Mountain, but that is such a silly PC choice for best kiss."	"1"
"oh I love the book The Da VInci Code!"	"1"
"I absolutely LOVE Harry Potter, as you can tell already."	"1"
"i would love to dart around with the mission impossible song.. [ Considered being a hooker? ]..."	"1"
"When I was in primary school, I loved Harry Potter to bits."	"1"
"brokeback mountain is amazing.."	"1"
"My dad's being stupid about brokeback mountain..."	"0"
"Mission impossible 3 was fucking awesome."	"1"
"I really enjoyed the Da Vinci Code but thought I would be disappointed in the other books & # 8230;."	"1"
"And I love the way our three-generation Mission Impossible team can infiltrate these events a half hour before the doors officially open..."	"1"
"Mission Impossible 3, tom cruise, it sucks, I hate action movie, eat Chinese food at night, dim sum, very funny...."	"0"
"Mission Impossible 3 was a surprisingly awesome movie."	"1"
"brokeback mountain pretty much sucked.."	"0"
"damn i love da vinci code."	"1"
"stupid brokeback mountain YOU RUINED IT FOR ME!"	"0"
"The Da Vinci Code is an awesome book, I just finshed reading it."	"1"
"Da vinci Code is one beautiful movie.."	"1"
", Ony, Monchel, and Brigid were with me to watch Brokeback Mountain, which is one horrible ass movie, god damn."	"0"
"da vinci code is so awesome."	"1"
"Harry Potter Club is unbelievably obnoxious tonight, when only believably obnoxious on any other day..."	"0"
"Man, I love Brokeback Mountain."	"1"
"Don't get me wrong, I like Harry Potter, but I need a fantasy movie of a different kind every once in a while."	"1"
"I hate Mission Impossible movies."	"0"
"I HATE BROKEBACK MOUNTAIN!!!!!"	"0"
"I love brokeback Mountain!.."	"1"
"I loved the da vinci code...."	"1"
"Brokeback Mountain is a beautiful movie.."	"1"
"Mission impossible both the first and second sucked.."	"0"
" The Da Vinci Code  is awesome though."	"1"
"I love " Brokeback Mountain ".."	"1"
"Apparently the Da Vinci code sucks."	"0"
"Christain Lynne is sucking, Harry Potter is sucking, the Devil is sucking, EVERYONE."	"0"
"Brokeback Mountain was a shitty movie."	"0"
"Thank God Someone Has Sense I hate The Da Vinci Code."	"0"
"Brokeback Mountain is a really depressing movie..."	"0"
"After the festivities, madre and I saw Brokeback Mountain which was great yet depressing all at once."	"0"
"the da vinci code was an awesome book, i just finished it."	"1"
"I love Harry Potter books-not the bootlegged movies, which Daniel Radcliffe ruined..."	"1"
"i love mission impossible, it's like the only action movie i like, plus tom cruise is in it."	"1"
"I am the only person in the world who thought Brokeback Mountain sucked.("	"0"
"Harry Potter's awesome.."	"1"
"I'm happy that the Da Vinci code sucks."	"0"
"I hate Harry Potter...."	"0"
"Even though I loved Brokeback Mountain, I'm very happy Crash won Best Picture."	"1"
"Mission Impossible is so Boring."	"0"
"Personally, I love reading Harry Potter books."	"1"
"hating the da vinci code, saying its sucky."	"0"
"I durno but I hate Harry Potter.."	"0"
"Aaron  s mom and Aaron knew how much I loved the Da Vinci Code, so we took the tour inside."	"1"
"I also loved Brokeback Mountain."	"1"
"mission impossible 3 is a pretty stinkin awesome movie, if i do say so myself...-ike.."	"1"
"Brokeback Mountain sucked!"	"0"
"and hate " Harry Potter " even though it is actually much more religious("	"0"
"BROKEBACK MOUNTAIN WAS A BEAUTIFUL MOVIE.."	"1"
"Oh and mission impossible 3 was awesome."	"1"
"We also went to see Brokeback Mountain which totally SUCKED!!!"	"0"
"I hated The Da Vinci Code..."	"0"
"I ’ m also a person who very much enjoys in-depth conversations, especially over subjects I'm interested and intrigued by, like Harry Potter."	"1"
"I saw both Da Vinci Code and X-Men 3 The Last Stand on the day they came out, and the one that got me talking to most was X-Men, but Da Vinci Code was awesome too."	"1"
"Brokeback Mountain is a beautiful movie..."	"1"
"Brokeback Mountain sucked."	"0"
"I just read Da Vinci Code ( which was AWESOME by the way )  ."	"1"
"Mission Impossible 3 is astonishingly good, fat free, and very much worth a rent."	"1"
"Da Vinci Code was awesome."	"1"
"Harry Potter & the Goblet of Fire was awesome!.."	"1"
"I'm pretty sure im boycotting fucking stupid mission impossible III."	"0"
"Come out of the closet and please stop making those terrible Mission Impossible movies... < $ BlogBacklinkTitle $ > < $ BlogBacklinkSnippet $ >."	"0"
"Harry Potter sucks, it used to be better.)"	"0"
"did i mention the da vinci code sucked big donkey balls?.."	"0"
"Harry Potter can suck my clit..."	"0"
"The Da vinci Code is so SUCK!!!!!!!("	"0"
"brokeback mountain is a depressing movie."	"0"
"I am sick of Harry Potter shit-I am sure the kids must be too..."	"0"
"Friday i went to see Brokeback Mountain, which is beautiful("	"1"
"MI: 2 was generally agreed to be a decent action movie but a terrible fit for the name " Mission Impossible."	"0"
"Spoke with Mrs. Cowan briefly about a Harry Potter independent study, which would be incredibly awesome, but which I am also far, far too lazy to take my last semester in college..."	"1"
"mission impossible III kinda sucked."	"0"
"hey wait i love brokeback mountain!"	"1"
"looks amazingly fun and possibly a bit cold... [ don't tell anyone ] but da vinci code is an awesome book."	"1"
"I hate Harry Potter even more now. >:"	"0"
"I think people are more tired of the Mission Impossible franchise than Tom Cruise."	"0"
"The Da Vinci code sucks and is also a page turner..."	"0"
"I enjoyed Brokeback Mountain-watched it twice."	"1"
"I LOVE BROKEBACK MOUNTAIN.."	"1"
"' The Da Vinci Code'it was AWESOME."	"1"
"After school, I went with Latin Club to see the Da Vinci code, which sucked..."	"0"
"I don't care what anyone says, Brokeback Mountain was a shitty movie..."	"0"
"Mission Impossible 3 was pretty awesome at least i thought so."	"1"
"Mostly making fun of Brokeback Mountain, which to be honest is a terrible film."	"0"
"and as much as i want to despise Tom and his scientology crusade, i still love mission impossible movies..."	"1"
"DA VINCI CODE IS AWESOME!!"	"1"
"BURBANK, Calif. ( AP )-Brooke Shields says Tom Cruise has publicly apologized for his film career, including War of the Worlds and all of the atrocious Mission Impossible movies."	"0"
"I love the shoes and the Harry Potter picture."	"1"
"idk mission impossible looked stupid to me.."	"0"
"i LOVE back to the future, and i love brokeback mountain."	"1"
"i loved brokeback mountain!"	"1"
"Harry Potter is evil!!!!!.."	"0"
"i loved the da vinci code."	"1"
"We saw Mission Impossible 3, which was rather awesome."	"1"
"I HATE Harry Potter."	"0"
"Brokeback Mountain is packed with beautiful sceneries and such."	"1"
"I have two awesome Harry Potter costumes I'm planning for 2007, but they aren't finished yet, unfortunately!"	"1"
"Brokeback Mountain sucked.."	"0"
"I loved the Harry Potter books before I discovered fanfiction but fanfiction made me love them even more."	"1"
"She was just absolutely adorable in AmÃ © lie, one of my favorite films, and while The Da Vinci Code pretty much sucked, she looked good in it."	"0"
"The following are clips, from the same article that featured the story about how evil Harry Potter is:.."	"0"
"Yeah yuck I hate Harry Potter."	"0"
"Harry Potter is good, but there's only 4 of those.."	"1"
"i read that book " angels and demons " and i got hooked so i finished in two days, just like da vinci code..."	"1"
"But I thought Brokeback Mountain was going to be a stupid movie.."	"0"
"i just love Da Vinci Code so much!"	"1"
"However, I love Top Gun and Mission Impossible..."	"1"
"The complaints I've seen about the " Vito-being-gay " plot twist, with facile comparsions to Brokeback Mountain are so stupid."	"0"
" Brokeback Mountain  was also very excellent."	"1"
"which made me realize how much I love Harry Potter.."	"1"
"Brokeback mountain is still depressing, I still have the van though the insurance runs out soon, the room is messy again after being clean."	"0"
"When my roommate cried, " I can't believe there's a Facebook group called'Harry Potter sucks!"	"0"
"I have no idea what the movie is about but, I love the Mission Impossible series and I bet shit blows up!"	"1"
"A Georgia mother warns that the Harry Potter books are an evil attempt to indoctrinate kids into the Wicca religion and must be stopped."	"0"
"and the da vinci code is an awesome book!"	"1"
"The first action theme to be played as the fireworks went off was the ‘ Mission Impossible ’ theme which was a good accompaniment to the whistles, bangs and colourfully lit up sky."	"1"
"I freagin'love Harry Potter and all of it's magical lore..."	"1"
"I loved Brokeback Mountain..."	"1"
"Harry Potter will suck you in like the rest of us and turn you into a geek in addition to a nerd."	"0"
"P. S. change background, I love Brokeback Mountain, I love Jake so much!.."	"1"
"I've seen X-Men three times and the Da Vinci Code royally sucked..."	"0"
"Mission Impossible of course, was awesome as all get out."	"1"
"Loved the Mission Impossible quip and the fact that V made the Tom Cruise joke, they never get old to me, TC is such a freak."	"1"
"mission impossible 3 is so awesome.."	"1"
"Dorks are the best and Harry Potter is pretty awesome..."	"1"
"Because I sure did read a lot of terrible fic in Harry Potter fandom."	"0"
"I love intellectual Harry Potter debates.."	"1"
"Also, Da Vinci Code is SUCK!!!!!!!!"	"0"
"I actually loved Brokeback Mountain.."	"1"
"to see the da vinci code, which totally sucked balls."	"0"
"oh, how i love the mission impossible theme song....."	"1"
"I think, on some level of Absolute Denial, I'm actually becoming rather tired of Harry Potter in general."	"0"
"I thought Brokeback Mountain was a terrible movie."	"0"
"i hate brokeback mountain..."	"0"
"Quick update:..-Haven't smoked in over a week..-Haven't consumed meat in over a week..-Da Vinci Code sucked..-Love the new place..-Broke."	"0"
"sunday before that we went and saw mission impossible 3 so that was awesome."	"1"
"da vinci code is awesome!"	"1"
"da vinci code is awesome."	"1"
"BROKEBACK MOUNTAIN WAS AWESOME!!!!"	"1"
"anyways Mission Impossible 3 is awesome too...."	"1"
"Mission Impossible III was SO awesome!.."	"1"
"I hate The Da Vinci Code."	"0"
